GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4708708,*****
0400000US02,02,Alaska,698473,*****
0400000US04,04,Arizona,6595778,*****
0400000US05,05,Arkansas,2889450,*****
0400000US06,06,California,36961664,*****
0400000US08,08,Colorado,5024748,*****
0400000US09,09,Connecticut,3518288,*****
0400000US10,10,Delaware,885122,*****
0400000US11,11,District of Columbia,599657,*****
0400000US12,12,Florida,18537969,*****
0400000US13,13,Georgia,9829211,*****
0400000US15,15,Hawaii,1295178,*****
0400000US16,16,Idaho,1545801,*****
0400000US17,17,Illinois,12910409,*****
0400000US18,18,Indiana,6423113,*****
0400000US19,19,Iowa,3007857,*****
0400000US20,20,Kansas,2818747,*****
0400000US21,21,Kentucky,4314113,*****
0400000US22,22,Louisiana,4492076,*****
0400000US23,23,Maine,1318301,*****
0400000US24,24,Maryland,5699478,*****
0400000US25,25,Massachusetts,6593587,*****
0400000US26,26,Michigan,9969727,*****
0400000US27,27,Minnesota,5266215,*****
0400000US28,28,Mississippi,2951996,*****
0400000US29,29,Missouri,5987580,*****
0400000US30,30,Montana,974989,*****
0400000US31,31,Nebraska,1796622,*****
0400000US32,32,Nevada,2643085,*****
0400000US33,33,New Hampshire,1324575,*****
0400000US34,34,New Jersey,8707740,*****
0400000US35,35,New Mexico,2009671,*****
0400000US36,36,New York,19541453,*****
0400000US37,37,North Carolina,9380884,*****
0400000US38,38,North Dakota,646844,*****
0400000US39,39,Ohio,11542645,*****
0400000US40,40,Oklahoma,3687050,*****
0400000US41,41,Oregon,3825657,*****
0400000US42,42,Pennsylvania,12604767,*****
0400000US44,44,Rhode Island,1053209,*****
0400000US45,45,South Carolina,4561242,*****
0400000US46,46,South Dakota,812383,*****
0400000US47,47,Tennessee,6296254,*****
0400000US48,48,Texas,24782302,*****
0400000US49,49,Utah,2784572,*****
0400000US50,50,Vermont,621760,*****
0400000US51,51,Virginia,7882590,*****
0400000US53,53,Washington,6664195,*****
0400000US54,54,West Virginia,1819777,*****
0400000US55,55,Wisconsin,5654774,*****
0400000US56,56,Wyoming,544270,*****
0400000US72,72,Puerto Rico,3967288,*****
