GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4627851,*****
0400000US02,02,Alaska,683478,*****
0400000US04,04,Arizona,6338755,*****
0400000US05,05,Arkansas,2834797,*****
0400000US06,06,California,36553215,*****
0400000US08,08,Colorado,4861515,*****
0400000US09,09,Connecticut,3502309,*****
0400000US10,10,Delaware,864764,*****
0400000US11,11,District of Columbia,588292,*****
0400000US12,12,Florida,18251243,*****
0400000US13,13,Georgia,9544750,*****
0400000US15,15,Hawaii,1283388,*****
0400000US16,16,Idaho,1499402,*****
0400000US17,17,Illinois,12852548,*****
0400000US18,18,Indiana,6345289,*****
0400000US19,19,Iowa,2988047,*****
0400000US20,20,Kansas,2775997,*****
0400000US21,21,Kentucky,4241474,*****
0400000US22,22,Louisiana,4293204,*****
0400000US23,23,Maine,1317207,*****
0400000US24,24,Maryland,5618344,*****
0400000US25,25,Massachusetts,6449755,*****
0400000US26,26,Michigan,10071822,*****
0400000US27,27,Minnesota,5197621,*****
0400000US28,28,Mississippi,2918785,*****
0400000US29,29,Missouri,5878415,*****
0400000US30,30,Montana,957861,*****
0400000US31,31,Nebraska,1774571,*****
0400000US32,32,Nevada,2565382,*****
0400000US33,33,New Hampshire,1315828,*****
0400000US34,34,New Jersey,8685920,*****
0400000US35,35,New Mexico,1969915,*****
0400000US36,36,New York,19297729,*****
0400000US37,37,North Carolina,9061032,*****
0400000US38,38,North Dakota,639715,*****
0400000US39,39,Ohio,11466917,*****
0400000US40,40,Oklahoma,3617316,*****
0400000US41,41,Oregon,3747455,*****
0400000US42,42,Pennsylvania,12432792,*****
0400000US44,44,Rhode Island,1057832,*****
0400000US45,45,South Carolina,4407709,*****
0400000US46,46,South Dakota,796215,*****
0400000US47,47,Tennessee,6156719,*****
0400000US48,48,Texas,23904380,*****
0400000US49,49,Utah,2645330,*****
0400000US50,50,Vermont,621254,*****
0400000US51,51,Virginia,7712091,*****
0400000US53,53,Washington,6468424,*****
0400000US54,54,West Virginia,1812035,*****
0400000US55,55,Wisconsin,5601640,*****
0400000US56,56,Wyoming,522830,*****
0400000US72,72,Puerto Rico,3942375,*****
