GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4599030,*****
0400000US02,02,Alaska,670053,*****
0400000US04,04,Arizona,6166318,*****
0400000US05,05,Arkansas,2810872,*****
0400000US06,06,California,36457549,*****
0400000US08,08,Colorado,4753377,*****
0400000US09,09,Connecticut,3504809,*****
0400000US10,10,Delaware,853476,*****
0400000US11,11,District of Columbia,581530,*****
0400000US12,12,Florida,18089889,*****
0400000US13,13,Georgia,9363941,*****
0400000US15,15,Hawaii,1285498,*****
0400000US16,16,Idaho,1466465,*****
0400000US17,17,Illinois,12831970,*****
0400000US18,18,Indiana,6313520,*****
0400000US19,19,Iowa,2982085,*****
0400000US20,20,Kansas,2764075,*****
0400000US21,21,Kentucky,4206074,*****
0400000US22,22,Louisiana,4287768,*****
0400000US23,23,Maine,1321574,*****
0400000US24,24,Maryland,5615727,*****
0400000US25,25,Massachusetts,6437193,*****
0400000US26,26,Michigan,10095643,*****
0400000US27,27,Minnesota,5167101,*****
0400000US28,28,Mississippi,2910540,*****
0400000US29,29,Missouri,5842713,*****
0400000US30,30,Montana,944632,*****
0400000US31,31,Nebraska,1768331,*****
0400000US32,32,Nevada,2495529,*****
0400000US33,33,New Hampshire,1314895,*****
0400000US34,34,New Jersey,8724560,*****
0400000US35,35,New Mexico,1954599,*****
0400000US36,36,New York,19306183,*****
0400000US37,37,North Carolina,8856505,*****
0400000US38,38,North Dakota,635867,*****
0400000US39,39,Ohio,11478006,*****
0400000US40,40,Oklahoma,3579212,*****
0400000US41,41,Oregon,3700758,*****
0400000US42,42,Pennsylvania,12440621,*****
0400000US44,44,Rhode Island,1067610,*****
0400000US45,45,South Carolina,4321249,*****
0400000US46,46,South Dakota,781919,*****
0400000US47,47,Tennessee,6038803,*****
0400000US48,48,Texas,23507783,*****
0400000US49,49,Utah,2550063,*****
0400000US50,50,Vermont,623908,*****
0400000US51,51,Virginia,7642884,*****
0400000US53,53,Washington,6395798,*****
0400000US54,54,West Virginia,1818470,*****
0400000US55,55,Wisconsin,5556506,*****
0400000US56,56,Wyoming,515004,*****
0400000US72,72,Puerto Rico,3927776,*****
